"code","name","geo_id"
"10","กรุงเทพมหานคร","ภาคกลาง"
"11","สมุทรปราการ","ภาคกลาง"
"12","นนทบุรี","ภาคกลาง"
"13","ปทุมธานี","ภาคกลาง"
"14","พระนครศรีอยุธยา","ภาคกลาง"
"15","อ่างทอง","ภาคกลาง"
"16","ลพบุรี","ภาคกลาง"
"17","สิงห์บุรี","ภาคกลาง"
"18","ชัยนาท","ภาคกลาง"
"19","สระบุรี","ภาคกลาง"
"20","ชลบุรี","ภาคตะวันออก"
"21","ระยอง","ภาคตะวันออก"
"22","จันทบุรี","ภาคตะวันออก"
"23","ตราด","ภาคตะวันออก"
"24","ฉะเชิงเทรา","ภาคตะวันออก"
"25","ปราจีนบุรี","ภาคตะวันออก"
"26","นครนายก","ภาคกลาง"
"27","สระแก้ว","ภาคตะวันออก"
"30","นครราชสีมา","ภาคตะวันออกเฉียงเหนือ"
"31","บุรีรัมย์","ภาคตะวันออกเฉียงเหนือ"
"32","สุรินทร์","ภาคตะวันออกเฉียงเหนือ"
"33","ศรีสะเกษ","ภาคตะวันออกเฉียงเหนือ"
"34","อุบลราชธานี","ภาคตะวันออกเฉียงเหนือ"
"35","ยโสธร","ภาคตะวันออกเฉียงเหนือ"
"36","ชัยภูมิ","ภาคตะวันออกเฉียงเหนือ"
"37","อำนาจเจริญ","ภาคตะวันออกเฉียงเหนือ"
"39","หนองบัวลำภู","ภาคตะวันออกเฉียงเหนือ"
"40","ขอนแก่น","ภาคตะวันออกเฉียงเหนือ"
"41","อุดรธานี","ภาคตะวันออกเฉียงเหนือ"
"42","เลย","ภาคตะวันออกเฉียงเหนือ"
"43","หนองคาย","ภาคตะวันออกเฉียงเหนือ"
"44","มหาสารคาม","ภาคตะวันออกเฉียงเหนือ"
"45","ร้อยเอ็ด","ภาคตะวันออกเฉียงเหนือ"
"46","กาฬสินธุ์","ภาคตะวันออกเฉียงเหนือ"
"47","สกลนคร","ภาคตะวันออกเฉียงเหนือ"
"48","นครพนม","ภาคตะวันออกเฉียงเหนือ"
"49","มุกดาหาร","ภาคตะวันออกเฉียงเหนือ"
"50","เชียงใหม่","ภาคเหนือ"
"51","ลำพูน","ภาคเหนือ"
"52","ลำปาง","ภาคเหนือ"
"53","อุตรดิตถ์","ภาคเหนือ"
"54","แพร่","ภาคเหนือ"
"55","น่าน","ภาคเหนือ"
"56","พะเยา","ภาคเหนือ"
"57","เชียงราย","ภาคเหนือ"
"58","แม่ฮ่องสอน","ภาคเหนือ"
"60","นครสวรรค์","ภาคกลาง"
"61","อุทัยธานี","ภาคกลาง"
"62","กำแพงเพชร","ภาคกลาง"
"63","ตาก","ภาคตะวันตก"
"64","สุโขทัย","ภาคกลาง"
"65","พิษณุโลก","ภาคกลาง"
"66","พิจิตร","ภาคกลาง"
"67","เพชรบูรณ์","ภาคกลาง"
"70","ราชบุรี","ภาคตะวันตก"
"71","กาญจนบุรี","ภาคตะวันตก"
"72","สุพรรณบุรี","ภาคกลาง"
"73","นครปฐม","ภาคกลาง"
"74","สมุทรสาคร","ภาคกลาง"
"75","สมุทรสงคราม","ภาคกลาง"
"76","เพชรบุรี","ภาคตะวันตก"
"77","ประจวบคีรีขันธ์","ภาคตะวันตก"
"80","นครศรีธรรมราช","ภาคใต้"
"81","กระบี่","ภาคใต้"
"82","พังงา","ภาคใต้"
"83","ภูเก็ต","ภาคใต้"
"84","สุราษฎร์ธานี","ภาคใต้"
"85","ระนอง","ภาคใต้"
"86","ชุมพร","ภาคใต้"
"90","สงขลา","ภาคใต้"
"91","สตูล","ภาคใต้"
"92","ตรัง","ภาคใต้"
"93","พัทลุง","ภาคใต้"
"94","ปัตตานี","ภาคใต้"
"95","ยะลา","ภาคใต้"
"96","นราธิวาส","ภาคใต้"
"97","บึงกาฬ","ภาคตะวันออกเฉียงเหนือ"
